GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
050416A	0.6535	2.99481	2.92405	3.06558	-10.5564	-10.6048	-10.508	1.9	0.19	0.18	0.842217	0.827268	0.857165	2	6.5	0.950954154	0.053619658	2.776405801	0.070765	46.68551493	0.054242138	XRF-D-IS	XRF-D-IS	2.22e-7	1.46e-8	-2.83634	0.117336364	-	-	1.522860661	0.089860631	50.79311559	0.0383	S	PL	50.7931	0.0383	28.0823	050416A	14.836517386233455	0.17119555337391615
051109A	2.346	3.91123	3.86486	3.9576	-10.5194	-10.5676	-10.4713	2.06	0.270601183	0.161012422	1.22299	1.20383	1.24214	2.3	6.1	1.075156182	0.169838208	3.386704063	0.04637	48.14200191	0.083814697	L	L-G	3.01e-7	3.03e-8	-1.44795	0.150809091	-	-	0.513375876	0.093507325	51.81953586	0.0904	S	PL	51.8195	0.0904	28.7653	051109A	10.89778237124928	0.2956709446365966
051109B	0.08	3.65548	3.52884	3.78213	-11.5749	-11.6671	-11.4827	2.06	0.29	0.27	1.251	1.12883	1.37317	1	6.1	1.00462834	0.013120502	3.622056245	0.126645	43.62546292	0.092374296	N-E	N-E	3.7e-8	6.52e-9	-1.85134	0.270387879	-	-	0.988624171	0.020572609	47.7615287	0.077	S	PL	47.7615	0.077	27.0496	051109B	37.31886478388835	0.8924692072989786
051221A	0.547	4.20075	4.11566	4.28583	-11.6936	-11.7566	-11.6306	1.89	0.2	0.19	1.09586	1.0401	1.15162	3	6.1	0.953138617	0.049148406	4.011259686	0.085085	45.3618453	0.066861836	S	S	1.02e-6	1.86e-8	-1.27041	0.031618182	-	-	0.727360583	0.010034353	50.94507887	0.01	N/A	PL	50.9451	0.01	27.9885	051221A	14.173286748119095	0.042489360619772425
060223A	4.41	2.78682	2.55205	3.02159	-10.9636	-11.1618	-10.7654	1.84	0.26	0.17	1.1892	1.00915	1.36925	2	4	0.763288005	0.167911128	2.053622735	0.23477	48.2063512	0.220024353	L	L-G	9.94e-8	8.73e-9	-1.57879	0.131760606	-	-	0.491100052	0.109242615	51.97572273	0.1039	Wind	PL	51.9757	0.1039	29.094	060223A	10.398607951171059	0.3242179648505593
060502A	1.51	3.3865	3.31142	3.46159	-10.5532	-10.6099	-10.4964	1.87	0.22	0.19	0.897152	0.876627	0.917678	2.3	6.4	0.887242662	0.101445694	2.986826279	0.075085	47.55549772	0.075407717	S	S	1.67e-7	1.21e-8	-0.937086	0.122572424	-	-	0.375994252	0.042412636	50.9589564	0.0582	ISM	PL	50.9589	0.0582	28.5307	060502A	14.114232826312174	0.24700215633600028
060510B	4.9	4.43617	4.11989	4.75245	-12.2656	-12.4862	-12.045	2.38	0.54	0.48	1.00735	0.775981	1.23872	3.2	6	1.963015661	1.076952863	3.665317988	0.31628	47.42237543	0.324705688	T	T	4.51e-8	6.22e-9	-1.39765	0.216151515	-	-	0.343302757	0.131711069	51.58529898	0.177	ISM	PL	51.5853	0.177	29.1479	060510B	11.691975117763585	0.6217465162154782
060607A	3.082	4.37412	4.34828	4.39996	-11.0226	-11.0987	-10.9465	1.564	0.078654307	0.0545	3.43151	3.2684	3.59463	2.7	5.4	0.541575952	0.03073741	3.763247	0.02584	47.62757941	0.079992271	T	T	1.28e-7	7.57e-9	-1.07759	0.095376667	-	-	0.273227643	0.036655014	51.4596146	0.0637	N/A	PL	51.4596	0.0637	28.9086	060607A	12.14188182114274	0.2323575791895372
060904B	0.703	3.87074	3.78945	3.95204	-11.1163	-11.2029	-11.0296	2.58	0.761593724	0.48931074	1.36265	1.3205	1.4048	2.69	6.2	1.3617723	0.274818352	3.639525352	0.081295	46.35901879	0.123246955	XRF-C	XRF-C	2.09e-7	1.19e-8	-1.21086	0.088072727	-	-	0.656960522	0.030804329	50.47849363	0.032	S	PL	50.4785	0.032	28.121	060904B	16.311215847081115	0.1575434416431583
061110A	0.758	2.24614	2.21279	2.27949	-8.33235	-8.54265	-8.12205	2.977	0.062	0.059	4.46435	4.34489	4.58381	1.67	3.9	1.735335442	0.035897986	2.001121129	0.03335	49.32842575	0.210491812	L	L	2.85e-8	6.22e-9	-2.03985	0.337927273	-	-	1.02273708	0.194985568	49.88595637	0.1259	N/A	PL	49.8859	0.1259	28.1611	061110A	19.505081691769313	0.7419903871603493
