time	timeerr1	timeerr2	flux	fluxerr1	fluxerr2
21.4610000145435	0.02	-0.02	5.00068097981246e-07	3.22556047108186e-08	-3.22556047108186e-08
21.5010000061989	0.02	-0.02	7.41565086722151e-08	5.07557514403261e-09	-5.07557514403261e-09
21.5409999978542	0.02	-0.02	2.9468415634691e-07	1.78576886050373e-08	-1.78576886050373e-08
21.5810000193119	0.02	-0.02	1.83780395405771e-07	1.10362101501732e-08	-1.10362101501732e-08
21.6210000109673	0.02	-0.02	1.17226393198133e-07	6.95776396230251e-09	-6.95776396230251e-09
21.6610000026226	0.02	-0.02	4.92542909662701e-08	2.85713088391173e-09	-2.85713088391173e-09
21.7010000240803	0.02	-0.02	3.12592820228586e-07	1.88093329158094e-08	-1.88093329158094e-08
21.7410000157356	0.02	-0.02	2.05559802825255e-07	1.18354042889009e-08	-1.18354042889009e-08
21.781000007391	0.02	-0.02	1.61595352531156e-07	9.79844395131376e-09	-9.79844395131376e-09
21.8209999990463	0.02	-0.02	1.01021861229534e-07	5.72050485755631e-09	-5.72050485755631e-09
21.861000020504	0.02	-0.02	9.12108508860384e-08	5.82377970655153e-09	-5.82377970655153e-09
21.9010000121593	0.02	-0.02	1.12511898211806e-07	6.59634165038933e-09	-6.59634165038933e-09
21.9410000038147	0.02	-0.02	5.08460309543472e-08	2.909964907992e-09	-2.909964907992e-09
21.9810000252724	0.02	-0.02	3.31654065140422e-07	1.95798018133193e-08	-1.95798018133193e-08
22.0210000169277	0.02	-0.02	7.98179646540949e-08	4.96684027206827e-09	-4.96684027206827e-09
22.0610000085831	0.02	-0.02	8.30488335358691e-08	5.14288289000287e-09	-5.14288289000287e-09
22.1010000002384	0.02	-0.02	2.70039167566373e-07	1.86451133377446e-08	-1.86451133377446e-08
22.1410000216961	0.02	-0.02	2.38723151272118e-07	1.50853916462577e-08	-1.50853916462577e-08
22.1810000133514	0.02	-0.02	1.31095187133344e-07	7.49445213400231e-09	-7.49445213400231e-09
22.2210000050068	0.02	-0.02	2.43688641071501e-07	1.49449634335925e-08	-1.49449634335925e-08
22.2610000264645	0.02	-0.02	3.73093372009516e-07	2.32015092427711e-08	-2.32015092427711e-08
22.3010000181198	0.02	-0.02	1.22361614082292e-07	7.62367042107379e-09	-7.62367042107379e-09
22.3410000097752	0.02	-0.02	1.15654221471307e-07	7.14176719429679e-09	-7.14176719429679e-09
22.3810000014305	0.02	-0.02	1.68766860331115e-07	1.00304544401298e-08	-1.00304544401298e-08
22.4210000228882	0.02	-0.02	2.9742957007505e-07	1.90707206434962e-08	-1.90707206434962e-08
22.4610000145435	0.02	-0.02	6.02298761354207e-08	3.90124967086874e-09	-3.90124967086874e-09
22.5010000061989	0.02	-0.02	6.26436175455156e-08	3.93604579791564e-09	-3.93604579791564e-09
22.5409999978542	0.02	-0.02	1.12177143401838e-07	7.82314844015947e-09	-7.82314844015947e-09
22.5810000193119	0.02	-0.02	1.90938465128581e-07	1.30049460345712e-08	-1.30049460345712e-08
22.6210000109673	0.02	-0.02	2.47454580033502e-07	1.44520831986425e-08	-1.44520831986425e-08
22.6610000026226	0.02	-0.02	5.52808350793283e-08	3.47949590009535e-09	-3.47949590009535e-09
22.7010000240803	0.02	-0.02	1.1029799739073e-07	7.33650606901073e-09	-7.33650606901073e-09
22.7410000157356	0.02	-0.02	3.9489925751037e-07	2.46445256938541e-08	-2.46445256938541e-08
22.781000007391	0.02	-0.02	2.59895889963549e-07	1.72917818955277e-08	-1.72917818955277e-08
22.8209999990463	0.02	-0.02	9.9876057907841e-08	7.04411997457526e-09	-7.04411997457526e-09
22.861000020504	0.02	-0.02	1.10586510727109e-07	6.69680911597474e-09	-6.69680911597474e-09
22.9010000121593	0.02	-0.02	1.91291690772483e-07	1.19295325973274e-08	-1.19295325973274e-08
22.9410000038147	0.02	-0.02	2.59763229662873e-07	1.81147504964359e-08	-1.81147504964359e-08
22.9810000252724	0.02	-0.02	1.57914597617001e-07	1.1045296080474e-08	-1.1045296080474e-08
23.0210000169277	0.02	-0.02	3.12170535737586e-07	2.1323760559921e-08	-2.1323760559921e-08
23.0610000085831	0.02	-0.02	2.95353180988605e-07	2.15348805643277e-08	-2.15348805643277e-08
23.1010000002384	0.02	-0.02	1.00073819131282e-06	7.78296432638933e-08	-7.78296432638933e-08
23.1410000216961	0.02	-0.02	9.19171227911396e-08	6.76690768436842e-09	-6.76690768436842e-09
23.1810000133514	0.02	-0.02	1.96316185183678e-07	1.38622284893346e-08	-1.38622284893346e-08
